"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"TRAPPC6A"	29.9717587992375	47.8522444735175	29.521755208633	32.7467611134122	50.646275193557	42.0303944646393	45.3983414692855	65.4962441255185
"MATK"	5.01390008889473	25.1664729734521	1.44368164315885	181.79031057138	28.1625428496601	119.565812961279	3.07060896979872	1.17893363371474
"CEACAM7"	0	0	0	0	0	0	0	0
"CD79B"	549.573244940422	0	16.6988844386477	38.5734728503797	5.09977143649552	29.2109621489806	9.24268164512955	101.04401774724
"SCN4A"	0	0	0	0	0	0	0	0
"ST7L"	15.6935266838794	10.7414725092379	22.4121433388274	4.23724895138427	20.9963279003028	3.38819337913311	12.2609004189359	5.86445042286227
"TKTL1"	3.13093005497032	0	0	69.2949057147386	2.10247868538109	8.07458359388867	2.99553737080698	0
"PAX6"	0	0	0	0	0	0	0	0
"RPUSD1"	14.6316477933826	7.2298426339228	6.61092196205656	21.4464735801191	24.4036850552141	20.6380135798681	16.32444986588	5.16568453861611
"RHBDF1"	0	0	2.51098401639366	0	0	0	2.14841949066325	0
"LUC7L"	29.1468776348942	50.0956763291908	15.9249909549266	42.4700604624157	43.1063515923949	24.327134722533	18.5984691963887	26.0668856975692
"CACNA2D2"	0	0	0.862084922213087	11.598570778083	0	25.8020656825068	2.13964611100636	25.252915992237
"BAIAP3"	0	0	0	0	0	0	1.42215672224621	0
"TSR3"	24.3277186821083	46.7972623765541	17.4531864872396	14.4795457102628	13.2332362702934	2.8744099427242	14.8318041686691	17.5805722068785
"PIGQ"	16.1713301982735	12.2048327050868	10.2726699139891	9.93891309576635	8.42403608055753	0	12.8668011535037	0
"CRAMP1"	3.01167456433379	15.3880692831651	3.53164053408589	0.406904703817399	0	0	0	0
"TEAD3"	5.51029838512353	0	0	0	0	0	10.4732160140769	0
"SELE"	0	0	0	0	0	0	0	0
